input,sx(cm),sy(cm),mass(KG),gravity(m/s^2),degree(°),speed(m/s),spring_k(n/m),lenght(cm),mode,pic_number,sx_real(cm),sy_real(cm),positionstart_x(cm),positionstart_y(cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,200,40,0.1,9.81,45,5,500,7.21,1,5,2.85,0.86,64,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t(ms),8.3,16.7,25,33.3,41.7,50,58.3,66.7,75,83.3,91.7,100,108.3,116.7,125,133.3,141.7,150,158.3,166.7,175,183.3,191.7,200,208.3,216.7,225,233.3,241.7,250,258.3,266.7,275,283.3,291.7,300,308.3,316.7,325,333.3,341.7,350,358.3,366.7,375,383.3,391.7,400,408.3,416.7,425,433.3,441.7,450,458.3,466.7,475,483.3,491.7,500,508.3,516.7,525,533.3,541.7,550,558.3,566.7,575,583.3,591.7,600,608.3,616.7,625,633.3,641.7,650,658.3,666.7,675,683.3,691.7,700,708.3,716.7,725,733.3,741.7,750,758.3,766.7,775,783.3,791.7,800,808.3,816.7,825,833.3,841.7,850,858.3
x(cm_global),64,66.9,69.9,72.8,75.8,78.7,81.7,84.6,87.6,90.5,93.5,96.4,99.4,102.3,105.2,108.2,111.1,114.1,117,120,122.9,125.9,128.8,131.8,134.7,137.7,140.6,143.5,146.5,149.4,152.4,155.3,158.3,161.2,164.2,167.1,170.1,173,176,178.9,181.9,184.8,187.7,190.7,193.6,196.6,199.5,202.5,205.4,208.4,211.3,214.3,217.2,220.2,223.1,226,229,231.9,234.9,237.8,240.8,243.7,246.7,249.6,252.6,255.5,258.5,261.4,264.3,267.3,270.2,273.2,276.1,279.1,282,285,287.9,290.9,293.8,296.8,299.7,302.6,305.6,308.5,311.5,314.4,317.4,320.3,323.3,326.2,329.2,332.1,335.1,338,341,343.9,346.8,349.8,352.7,355.7,358.6,361.6,364.5
y(cm_global),61.3,64.2,67.1,69.9,72.6,75.2,77.8,80.3,82.7,85.1,87.4,89.6,91.8,93.9,95.9,97.9,99.8,101.6,103.3,105,106.6,108.2,109.7,111.1,112.4,113.7,114.9,116.1,117.1,118.1,119.1,119.9,120.7,121.5,122.1,122.7,123.3,123.7,124.1,124.4,124.7,124.9,125,125,125,124.9,124.8,124.6,124.3,123.9,123.5,123,122.4,121.8,121.1,120.3,119.5,118.6,117.6,116.6,115.5,114.3,113.1,111.8,110.4,108.9,107.4,105.8,104.2,102.5,100.7,98.8,96.9,94.9,92.8,90.7,88.5,86.2,83.9,81.5,79,76.5,73.9,71.2,68.5,65.7,62.8,59.8,56.8,53.7,50.6,47.4,44.1,40.7,37.3,33.8,30.3,26.6,22.9,19.2,15.3,11.4,7.5
sx(cm),0,2.9,5.9,8.8,11.8,14.7,17.7,20.6,23.6,26.5,29.5,32.4,35.4,38.3,41.2,44.2,47.1,50.1,53,56,58.9,61.9,64.8,67.8,70.7,73.7,76.6,79.5,82.5,85.4,88.4,91.3,94.3,97.2,100.2,103.1,106.1,109,112,114.9,117.9,120.8,123.7,126.7,129.6,132.6,135.5,138.5,141.4,144.4,147.3,150.3,153.2,156.2,159.1,162,165,167.9,170.9,173.8,176.8,179.7,182.7,185.6,188.6,191.5,194.5,197.4,200.3,203.3,206.2,209.2,212.1,215.1,218,221,223.9,226.9,229.8,232.8,235.7,238.6,241.6,244.5,247.5,250.4,253.4,256.3,259.3,262.2,265.2,268.1,271.1,274,277,279.9,282.8,285.8,288.7,291.7,294.6,297.6,300.5
sy(cm),0.3,3.2,6.1,8.9,11.6,14.2,16.8,19.3,21.7,24.1,26.4,28.6,30.8,32.9,34.9,36.9,38.8,40.6,42.3,44,45.6,47.2,48.7,50.1,51.4,52.7,53.9,55.1,56.1,57.1,58.1,58.9,59.7,60.5,61.1,61.7,62.3,62.7,63.1,63.4,63.7,63.9,64,64,64,63.9,63.8,63.6,63.3,62.9,62.5,62,61.4,60.8,60.1,59.3,58.5,57.6,56.6,55.6,54.5,53.3,52.1,50.8,49.4,47.9,46.4,44.8,43.2,41.5,39.7,37.8,35.9,33.9,31.8,29.7,27.5,25.2,22.9,20.5,18,15.5,12.9,10.2,7.5,4.7,1.8,-1.2,-4.2,-7.3,-10.4,-13.6,-16.9,-20.3,-23.7,-27.2,-30.7,-34.4,-38.1,-41.8,-45.7,-49.6,-53.5
